scheme name,ministries/departments,target beneficiaries,eligibility criteria,description & benefits,application process,tags
Women Helpline 181,Ministry of Women and Child Development,Women in distress seeking emergency/non-emergency services or information,Any women in distress seeking emergency/non-emergency services or information or any other individual on her behalf,"Provides 24X7 emergency and non-emergency response through telephonic short-code 181, linking women with appropriate authorities, and providing information about women welfare schemes and services.","Offline, through a single universal toll-free number across the country, which is 181","Women, Emergency, Non-Emergency, Helpline, Violence, Safety, Response, Counselling"
Mahila Samridhi Yojana under NSKFDC- Haryana,Haryana Scheduled Castes Finance and Development Corporation (HSFDC) in collaboration with the National Safai Karamcharis Finance & Development Corporation (NSKFDC),Women Safai Karamcharis or their dependents,"The applicant should be a permanent resident of Haryana, female, aged between 18 and 55 years, and either a Safai Karamchari or a dependent of one. There is no income limit.","The scheme offers loans up to ₹1,00,000/- to women Safai Karamcharis or their dependents for economic development through self-employment initiatives, such as establishing cloth shops, dairies, tea shops, bangle shops, beauty parlours, papad making, basketry, tailoring shops, etc. The Corporation contributes margin money at 10% of the project cost.",Applicants can apply online through the official portal Antyodaya-SARAL Portal or the official website of NSFDC.,"Loan, Mahila, NSKFDC, Safai Karamcharis, Samridhi, Self-employment, Woman"
Additional Pension to Widow of Ex-Serviceman having Children,"Sainik and Ardh Sainik Welfare Department, Government of Haryana",Widow of an ex-serviceman who dies while in service but not in any battle,"1. The applicant should be the widow of an ex-serviceman. 2. The widow should be a resident of Haryana. 3. The benefit is provided for up to three children of the widow. 4. The benefit continues until the child dies, attains the age of 20 years, gets married, or becomes employed, whichever is the earliest.","An additional amount, in addition to the pension, is provided to the widow of an ex-serviceman who dies while in service but not in any battle. This additional amount is given for up to three children and continues until the child dies, reaches the age of 20 years, gets married, or becomes employed, whichever is the earliest.",Online application through Antyodaya-SARAL Portal,"Pension, Ex-Serviceman, Widow, Children, Haryana"
Union Territory of Lakshadweep Pension Scheme for Old Age,"Social Welfare & Tribal Affairs Department, Union Territory of Lakshadweep",Senior citizens in the UT above 60 years of age who do not have any source of income,"1. Permanent resident of the Union Territory of Lakshadweep, 2. Above 60 years of age, 3. Monthly income not exceeding ₹1,500/- (₹18,000 per annum), 4. No source of income, 5. Not a beneficiary of any other similar pension scheme provided by the government","Provides monthly financial assistance of ₹1,500/- to senior citizens in the UT, directly transferred to the beneficiary’s bank account","Offline application process: Collect application form from Village (Dweep) Panchayat office, fill out and attach supporting documents, submit to Executive Officer at Village (Dweep) Panchayat office","Financial Assistance, Old Age, Pension, Senior Citizen"
Special Jobs to PwDs - Helper,"Department of Social Welfare & Tribal Affairs, Union Territory of Lakshadweep",Persons with Disabilities (PwDs) with a minimum of 40% disability,"1. Local resident of the Union Territory of Lakshadweep, 2. Minimum 40% disability, 3. Physically capable of performing the work of a helper, 4. Belong to the Scheduled Tribe (ST) category, 5. Age between 18 and 45 years, 6. Passed at least the 8th standard","Provide temporary employment opportunities to Persons with Disabilities (PwDs) as Helpers on an 89-day rotational basis in the District Panchayat offices of their respective islands, Monthly salary of ₹9,900/-","Offline, Collect application form from the Village (Dweep) Panchayat Office or District Panchayat Office, Fill out the application form and attach required documents, Submit the completed application form to the concerned officer at the Village (Dweep) Panchayat Office or District Panchayat Office","Employment, Helper, Job, Person With Disabilities, PwD, Lakshadweep, Scheduled Tribe, Disability"
Family Pension (DBOCWWB),"Delhi Building and Other Construction Workers Welfare Board, Labour Department, Delhi",Surviving spouse of the deceased pensioner,The deceased should have been a pensioner of the Board. The applicant should be a family member or a dependent of the deceased.,"Upon the death of the pensioner, the surviving spouse is provided 50% of the pension amount or ₹1,500/-, whichever is higher.","Offline application process involving printing and filling of the prescribed application form, attaching required documents, and submitting it to the Labour Incharge of the Board.","Construction, Family, Labour, Pension, Worker"
"Goa State Employment Subsidy Scheme for the Industries, 2008","Directorate of Industries, Trade and Commerce, Government of Goa","Manufacturing units, including new and existing micro, small, medium, and large enterprises, employing 80% local manpower","Manufacturing units, including new and existing micro, small, medium, and large enterprises, employing 80% local manpower, with focus on units in 'Green', 'Orange', or specified 'Orange' environmental categories","The scheme aimed to promote industrial growth, create a healthy environment for setting up new industrial units, revive sick industrial units, provide employment to local youths, and create manpower suitable to the needs of the industry. Additional benefits included a 5% increase in local employment subsidy, preference in capital contribution, and increased interest subsidy limits.","Offline application process involving registration with the Directorate of Industries, Trade and Commerce, submission of half-yearly claims, and scrutiny by the Task Force Committee","Employment, Entrepreneur, Incentive, Industry, Subsidy"
Education Loan Scheme - Delhi,"Delhi SC/ST/OBC/Minorities and Handicapped Financial Development Corporation Ltd., Government of Delhi","Students belonging to Scheduled Castes (SC), Scheduled Tribes (ST), Other Backward Classes (OBC), Minorities, and Persons with Disabilities (PwD)","The applicant must be a permanent resident of Delhi, with an annual family income below ₹5,00,000/-. The applicant should be from one of the following target groups - Scheduled Caste, Scheduled Tribe, Other Backward Class, Minority, Persons with Disability.","The scheme offers need-based loans with a maximum limit of ₹7,50,000/- for studies in India and ₹15,00,000/- for studies abroad.","Offline application process involving submission of application form along with required documents to the Deputy Manager (Education Loan) in Room No. 208, 2nd Floor, Ambedkar Bhawan, Sector-16, Rohini, Delhi-89.","College, Disability, Education, Loan, Minority, OBC, Scheduled Caste, Scheduled Tribe, Student"
Feed Based Fisheries Scheme,"Agriculture, Animal Husbandry & Cooperation Department, Government of Jharkhand",Fish Farmers,"1. The applicant should be a fisherman. 2. The applicant must be an active fish farmer involved in cage fish farming, Recirculatory Aquaculture Systems (RAS), or Biofloc systems. 3. The applicant should have at least one year of previous crop records. 4. The applicant should not be enrolled in other overlapping schemes for the same purpose.","The scheme aims to enhance fish production through feed-based fisheries. Financial support in the form of grants for floating fish feed is provided to fish farmers to increase fish production in various districts like Ranchi, Ramgarh, Koderma, Bokaro, Dhanbad, and Seraikela. Benefits include floating fish feed subsidy, support for cage fish farmers, and support for Biofloc pond farmers.","Offline application process: 1. Visit the District Fisheries Office and request a hard copy of the prescribed format of the application form. 2. Fill in all the mandatory fields, and attach copies of all the mandatory documents. 3. Submit the duly filled and signed application form along with the documents to the District Fisheries Office. 4. Request a receipt or acknowledgment from the District Fisheries Office.","Fisheries, Fish Production, Financial Assistance, Grants, Fish Feed, Cage Fish Farming, Recirculatory Aquaculture Systems (RAS), Biofloc Systems"
Dilli Swarojgar Yojna,"Delhi Scheduled Castes, Scheduled Tribes, Other Backward Classes, and Minorities Financial and Development Corporation (DSFDC), Government of National Capital Territory (NCT) of Delhi","Individuals from Scheduled Castes (SC), Scheduled Tribes (ST), Other Backward Classes (OBC), and Minority communities","Resident of Delhi for the last five years, aged between 18 to 50 years, annual family income not exceeding ₹2,00,000/-","Need-based loans up to ₹5,00,000/- at an interest rate of 6% per annum for various income-generating activities","Offline application process involving collection of application form, filling and submitting it with required documents, and payment of processing fee","Business, Employment, Entrepreneurship, Loan, Minority, Scheduled Caste, Scheduled Tribe"
Composite Loan Scheme,"Delhi SC/ST/OBC/Minorities/Handicapped Financial & Development Corporation, Government of NCT of Delhi","Scheduled Castes, Scheduled Tribes, Other Backward Classes, Minorities, and Persons with Disabilities","The applicant should be from one of the target groups, a resident of Delhi, between 18 to 50 years old, with an annual family income not exceeding ₹1,20,000/-, willing to pursue income-generating activities, and have a proper workplace.","The scheme provides need-based financial support to individuals from targeted groups to help them pursue various income-generating activities, promoting self-employment and entrepreneurship, and economic independence and social inclusion.","Offline application process involving printing and filling of the application form, attaching required documents, and submitting to the Branch In-Charge / Section In-Charge of the Delhi SC/ST/OBC/Minorities/Handicapped Financial & Development Corporation.","Disability, Employment, Entrepreneurship, Loan, Minority, Scheduled Caste, Scheduled Tribe"
Grant to Jharkhand State Unaided Educational Institutions,"Directorate of Secondary Education, Department of School Education and Literacy, Jharkhand Government","Approved unaided secondary schools, permanent intermediate colleges, madrasas, and Sanskrit schools","Varies by institution type (secondary schools, madrasas/Sanskrit schools, intermediate colleges), including approval by State Government or Jharkhand Academic Council, student strength, pass rate, and infrastructure","Financial assistance for infrastructure development, educational resources, and staffing assistance to strengthen infrastructure and ensure holistic development of institutions","Online application through official website, registration, login, form completion, document upload, verification, and submission","Education, Infrastructure, Financial Assistance, Jharkhand"
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance to MSEs for Shed Developed by Private Developer,"Industries and Mines Department, Gujarat","SC/ST entrepreneurs, Micro/Small/Medium enterprises (MSEs)","The firm must be a Micro/Small/Medium enterprise run by SC/ST entrepreneur, The shed must be located in a government-approved mini estate, The entrepreneur must pay 30% of the shed cost to acquire possession","The scheme provides financial assistance to SC/ST entrepreneurs for acquiring industrial sheds in mini estates developed by private developers, It encourages industrial growth by offering support for land, building, and infrastructure costs, Private developers receive an additional 15% assistance on the total cost of the shed, SC/ST entrepreneurs need to pay only 30% of the shed price, after which possession is handed over, and developers can claim assistance, The government disburses 35% of the shed cost after the sale and the remaining amount after production begins","Online application through Investor Facilitation Portal (IFP), Registration process involves filling in the registration form, verifying email ID, and completing the application process by filling in required details and uploading mandatory documents","Business, Entrepreneurship, MSMEs, Scheduled Caste, Scheduled Tribe, Start Up"
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance for Raising Capital through SME Exchange,"Industries and Mines Department, Gujarat","SC/ST entrepreneurs, MSMEs",The firm must be a Micro/Small/Medium enterprise run by SC/ST entrepreneur. The enterprise must have successfully raised equity capital through an SME Exchange. Enterprise shall have to apply within one year from the listing date in SME Exchange.,"The scheme provides financial assistance to MSMEs for expenses incurred in raising capital through SME Exchange, encouraging them to explore funding options through the capital markets. MSMEs can receive up to 30% of the total expenditure incurred for raising capital through SME Exchange with a maximum up to ₹5,00,000/-.","Online application through Investor Facilitation Portal (IFP). Registration process involves filling in the registration form, verifying email ID, and logging in to access the application form. Post-registration process involves filling in required details and mandatory documents about the business.","Business, Entrepreneurship, MSMEs, Scheduled Caste, Scheduled Tribe, Start Up"
Financial Assistance to Widower and Unmarried Persons Scheme : For Widower,"Social Justice, Empowerment, Welfare of Scheduled Castes and Backward Classes and Antyodaya (SEWA) Department, Government of Haryana",Widowers who are unable to sustain themselves from their own sources and are in need of financial assistance from the State,"The applicant should be a domicile of Haryana or have been residing in the state for at least the last 15 years, The applicant should be a widower, The applicant should have attained the age of 40 years, The applicant's verified annual income should be up to ₹3,00,000/-, The applicant should possess a Family ID","The scheme provides monthly financial assistance of ₹2750 to eligible beneficiaries, The financial assistance will continue until the beneficiary turns 60 years old","Online application through Antyodaya-SARAL Portal, Registration and login required, Fill in the online application form and submit","Empowerment, Financial Assistance, Social Security, Widower"
Reimbursement of Tuition Fee and Transport Facility to Scheduled Castes Students Studying in Technical Institutions in Haryana,"Department of Technical Education, Government of Haryana",Scheduled Castes students pursuing AICTE-approved technical courses in Haryana,"1. The applicant should be a Scheduled Caste student of Haryana. 2. The student should be enrolled in an AICTE-approved Diploma, Undergraduate, or Postgraduate technical course. 3. The applicant should be pursuing an AICTE-approved course in a government, private, or aided technical institution approved by the Technical Education Department, Haryana. 4. The applicant should be admitted through centralized counselling. 5. The applicant’s annual parental income should be between ₹2.5 lakh and ₹3.5 lakh for tuition fee reimbursement. 6. The applicant should not be residing in a campus hostel to be eligible for transport facility reimbursement.",The scheme provides financial assistance to Scheduled Castes students pursuing AICTE-approved technical courses by reimbursing tuition fees and transport costs.,"Online application through the Harchhatravratti portal. Registration process involves entering Parivar Pehchaan Patra (Family Id), selecting the department and college, and creating a password. Application process involves logging in, checking eligibility, selecting the scholarship scheme, providing necessary details, and submitting the application.","Scheduled Castes, Technical Education, Haryana, Tuition Fee Reimbursement, Transport Facility"
Scheme for Assistance for Industrial Infrastructure,"Industries and Mines Department, Gujarat","Eligible institutions, industries associations, chambers of commerce, SPVs, government departments, PSUs, and municipal corporations","Eligible institution means any Industries Association, Chamber of Commerce and industry or SPV of industries (which are registered under Societies Act, Trust Act or the Companies Act) or any Large Project/Group of Industries are eligible. Any Government Department, Govt. Agency or Authority, State and Central Govt. PSUs, Board, Corporation, Municipal Corporations will be considered as eligible Institution.","The scheme aims to support the development and upgradation of industrial infrastructure in the state. It provides financial assistance to eligible institutions for creating infrastructure facilities that foster industrial growth, improve operational efficiency, and encourage investments. Benefits include general assistance of up to 80% of the eligible project cost or ₹25,00,00,000/- per project, whichever is less, supplementary assistance, assistance for MSE clusters, and funding for specific studies.","Offline application process involving submission of project report to Industries Commissionerate, scrutiny of the proposal, and submission of claim of assistance to Industries Commissionerate.","Industrial Infrastructure, Investment, Entrepreneurship, Gujarat"
INDIRAMMA Old Age Pension (Rural),"Department of Rural Development, Government of Andhra Pradesh","Old age citizens, both male and female, who are 65 years of age or above and are destitute","The applicant should be from a Below Poverty Line (BPL) family, a local resident of the district, from a rural area, not covered under any other Pension Scheme, 65 years of age or above, destitute, with no means of subsistence, and no family or relatives to depend upon","The scheme aims to disburse monthly pensions to old age citizens, both male and female, who are 65 years of age or above and are destitute. The pension amount is notified by the Government of Andhra Pradesh.","Offline, eligible citizens will be identified by their respective Gram Panchayat during the Gram Sabhas. The Panchayat Secretary maintains a register of eligible persons and sends the Gram Sabha resolution recommending eligible persons to the Mandal Parishad Development Officer (MPDO).","Financial Assistance, Old Age, Pension, Senior Citizen, Social Welfare"
Scheme for Enhancement of Technical Competence and Manpower: Scheme of Financial Assistance for Running Short-term Bridge Courses,"Industries and Mines Department, Gujarat",Industry Partners and Host Institutes,"Host Institute must be an ITIs, Polytechnic, Engineering College, or Government-Affiliated Institution with at least 5 years of experience. Industry Partner must be an industry/association with at least 10 years of experience in skill development. Both entities must be legally registered under Societies Act, Trust Act, or Companies Act. Courses should be aligned with NSDC, NCVT, GCVT, or Sector Skill Council guidelines. A minimum of 25% of course intake must be industry-sponsored. At least 75% of industry-sponsored trainees must be provided employment. The training center must be operational for at least 5 years.","The scheme aims to enhance skill development by providing industry-relevant training. It enables Industry Partners and Host Institutes to collaborate in setting up specialized training centers to equip trainees with in-demand skills, improving employability and workforce readiness. Financial assistance is provided for fixed cost, refurbishing support, and recurring cost. Additional assistance is provided for awareness programs, seminars, and other expenditures.",Offline application process. Submit the application form to The Centre for Entrepreneurship Development (CED) for onward submission to the Screening Committee. Applications are received twice a year in April and October.,"Entrepreneurship Development, Manpower Solution, Short Term Bridge Courses, Skill Development, Technical Competence"
Scheme for Enhancement of Technical Competence and Manpower: Scheme of Financial Assistance for Skill Development to MSME Sector,"Industries and Mines Department, Gujarat","Micro, Small, and Medium Enterprises (MSMEs) and their employees","The applicant unit should belong to the MSME sector, the MSME must sponsor a candidate from its workforce, the candidate must have at least one year of experience in the MSME, and the training partner/organization must have at least 10 years of experience.","The scheme aims to provide financial support to MSMEs for the skill upgradation of their workforce, bridge the industry’s skill gap, boost employment, and align workforce training with evolving technology and business needs. Benefits include financial assistance, skill enhancement, recognized training, and third-party assessment.",Offline application process involving submission of application form to The Centre for Entrepreneurship Development (CED) for onward submission to the Screening Committee.,"Entrepreneurship Development, Manpower Solution, MSME, Skill Development, Technical Competence"
Haryana State Meritorious Incentive Scheme for the Students Who Attain First Position in CBSE Annual Exams in the State,"Department of Higher Education, Government of Haryana",Meritorious students who attain top positions in CBSE annual exams,"The applicant should be a domicile of Haryana, top-ranked boy or girl in the CBSE 10th or 12th annual exams at the state level, continuing education as a regular student, passed from a school in Haryana, and secured required percentage in CBSE exams.","The scheme provides financial incentives to CBSE toppers, covering their school/college fees up to the completion of their graduation, with a limit of ₹25,000 per year till 10+2 and ₹1,00,000 per year till graduation.","Online application through the Centralized Scholarship Portal of the Department of Higher Education, Haryana, with registration and application steps involving OTP verification, form filling, and document uploading.","Education, Financial Assistance, Incentive, Merit, School, Student"
Scheme of Assistance for Common Environment Infrastructure: Scheme for Development of Green Estate,"Industries and Mines Department, Gujarat",Institutions or groups of industries with polluting industrial units recommended for relocation or retrofitting by GPCB,"Industries recommended by GPCB for relocation or retrofitting, and approved by the State Level Empowered Committee (SLEC)","The scheme provides financial assistance for the relocation or retrofitting of polluting industrial units to designated green estates, aiming to reduce environmental pollution and promote sustainable industrial growth.","Offline application process involving preparation of a Detailed Project Report (DPR), filling out a prescribed application form, and submitting the application with required documents to the Industries Commissionerate","Environment Infrastructure, Entrepreneurship, Green Estate, Industrial Growth, Pollution Control, Sustainability"
Rearing Pond Construction Scheme,"Department of Agriculture, Animal Husbandry, and Cooperation (Fisheries Division), Government of Jharkhand","Private-sector fish farmers, Scheduled Castes, Scheduled Tribes","The applicant should be a fisherman, have proposed land near their residence, be engaged in fish farming or have constructed a fish seed hatchery with a departmental subsidy, have undisputed land, and be financially capable of contributing their share of the pond construction costs.","The scheme provides financial assistance for constructing rearing ponds with a minimum water area of one acre, supporting private-sector fish farming for sustainable fish production.","Offline application through newspaper advertisements and single-window systems, submission of proposals with necessary land documents and proof of experience in fish farming to District Fisheries Officers, selection process by district councils, approval and funding, construction and monitoring.","Fish farming, Rearing ponds, Financial assistance, Sustainable fish production, Private-sector fish farming"
Haryana State Meritorious Incentive Scheme,"Department of Higher Education, Government of Haryana",Meritorious students studying in government colleges,"1. College-specific, 2. Top three meritorious students in each stream, 3. Pursuing general courses in Government Colleges, 4. Not eligible for students from Non-Government Colleges and those who pursue their studies through correspondence courses/open universities","Monetary rewards are granted to students who secure top positions in annual university examinations across Arts, Commerce, Science (Medical and Non-Medical), and Education streams. ₹5,000/- per annum for students securing the first position, ₹3,000/- per annum for students securing the second position, and ₹2,000/- per annum for students securing the third position.","Online application through the Centralized Scholarship Portal of the Department of Higher Education, Haryana. Registration and login required.","Education, Incentive, Merit, Scholarship, Student"
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance of Capital Investment Subsidy,"Industries and Mines Department, Gujarat","SC/ST entrepreneurs, Micro/Small/Medium enterprises","The firm must be a Micro/Small/Medium enterprise run by SC/ST entrepreneur, The enterprise must be a manufacturing enterprise, Applications must be submitted online within one (1) year of the first loan disbursement date, the date of commercial production commencement, or the GR issue date, whichever is later, and before the scheme's last operative date.","The scheme provides a capital investment subsidy to support micro-enterprises in manufacturing, Financial Assistance: 30% of term loan amount upto ₹40,00,000/- for Category 1 Taluka, 25% of term loan amount upto ₹35,00,000/- for Category 2 Taluka, and 15% of term loan amount upto ₹15,00,000/- for Category 3 (Municipal Corporation areas)","Online application through Investor Facilitation Portal (IFP), Registration Process: Fill in the Registration Form, Verify the E-mail ID, Post-Registration Process: Fill in the required details and mandatory documents about your business","Business, Entrepreneurship, MSMEs, Scheduled Caste, Scheduled Tribe, Start Up"
Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance for Quality Certification,"Industries and Mines Department, Gujarat","SC/ST entrepreneurs, MSMEs in the manufacturing sector",The firm must be a Micro/Small/Medium enterprise run by SC/ST entrepreneur. The enterprise must apply within one year from the date of certification issuance.,The scheme supports MSMEs in the manufacturing sector to obtain quality certifications and enhance their product standards in a competitive market. It covers the implementation of ERP systems and national/international quality certifications.,"Online application through the Investor Facilitation Portal (IFP). Registration, login, and filling in the required details and documents are necessary to complete the application process.","Business, Entrepreneurship, MSMEs, Scheduled Caste, Scheduled Tribe, Start Up"
Scheme for Financial Assistance to Integrated Logistics Facilities: Exemption of Electricity Duty,"Industries and Mines Department, Gujarat",Private developers for developing Logistics Facilities and Logistics Park,"Newly established units or projects, Developer has to maintain and operate the logistic facilities for at least minimum period of 5 years","Provides financial assistance to private developers for developing Logistics Facilities and Logistics Park with all required infrastructure and logistic services, Exemption of Electricity Duty from the date of Commencement of Operation","Online and Offline, Registration Process involves filling in the Registration Form, verifying the E-mail ID, and filling in the required details and mandatory documents about the business","Logistics Facilities, Electricity Duty, Gujarat, Industrial Growth, Economic Development"
Mahatma Jyotirao Phule Jan Arogya Yojana (MJPJAY),"Public Health and Family Welfare Department, Government of Maharashtra","All families in the state of Maharashtra, including low-income families","Families holding Yellow, Antyodaya Anna Yojana (AAY), Annapurna Yojna and Orange Ration Card, White ration card holder families, Students in Govt. and Govt. recognized Ashram School, etc.","The scheme provides cashless medical services for secondary and tertiary treatments through empaneled hospitals, offering up to ₹1.5 lakh under MJPJAY and ₹5 lakh under Ayushman Bharat annually.","Offline, through submission of application form and required documents at any Govt./Pvt. network hospital in the state","Health Insurance, Cashless Service, Diseases, Hospital, Maharashtra"
Admission in Post Matric Hostel,"Backward Classes and Minorities Welfare Department, Government of Madhya Pradesh",Backward class students,1. The applicant should belong to the Backward Class. 2. The applicant should be studying in an educational institution located near the hostel. 3. The applicant should not be a resident.,"Provides free accommodation to backward class students who are eligible for the Post Matric Scholarship, studying in an educational institution near the hostel, and are not local residents.","Offline application process involving 4 steps: 1. Obtain the application form from the Office of the Collector, Assistant Director, Backward Classes and Minority Welfare Department District Office. 2. Fill in the application form and attach required documents. 3. Submit the application form to the concerned authority. 4. Request a receipt or acknowledgement from the concerned authority.","Education, Hostel, Student, Backward Classes"
Refund of Fees,"Higher Education Department, Madhya Pradesh",Students,1. The applicant should be admitted to a college. 2. The applicant should be a native of Madhya Pradesh.,"The scheme allows students to claim a refund of the remaining admission fee (including caution money) if they leave the college during the academic session after admission, are declared failed after provisional admission, or if their online admission is cancelled.","Offline application process involving 4 steps: 1. Obtain the application form from the college, 2. Fill in the form and attach required documents, 3. Submit the form to the authority, 4. Request a receipt or acknowledgement.","College, Education, Financial Assistance, Student"
Nursing Kaushal College Jharkhand,"Welfare Department, Government of Jharkhand","Young women from Jharkhand, especially from Scheduled Tribes, Scheduled Castes, Minorities, and Other Backward Classes","The applicant must be a resident of Jharkhand, between 18-30 years of age, and have passed the 12th grade in any stream.","The scheme provides skill-based nursing education and employment opportunities for young women in Jharkhand, including free residential training, advanced nursing education, hands-on practice in modern simulation labs, 100% campus placement assistance, safe and modern campus with advanced simulation labs, and free 15-day residential coaching for JCECEB nursing entrance exam.","Apply online through the official PREJHA Foundation application portal, fill out the application form with personal details, select the desired course, upload necessary documents, and submit the application.","Nursing Education, Employment Opportunities, Women Empowerment, Jharkhand"
Preferential Purchase Incentives for Micro and Small Enterprises Scheme,"Directorate of Industry, Trade & Commerce, Government of Goa",Micro and Small Scale Enterprises,"The enterprise should have a turnover not exceeding ₹6,00,00,000/- per annum for the preceding 3 financial years and should be permanently registered or acknowledged with Entrepreneurs Memorandum II by the Directorate of Industries, Trade and Commerce.","The scheme provides benefits such as price matching, reduced tender document costs, and priority in payments to Micro and Small Enterprises permanently registered with the Directorate of Industry, Trade & Commerce.","Offline application process involving tender participation, earnest money deposit, and compliance with quality standards.","Business, Commerce, Entrepreneur, Incentive, Industry, MSME, Purchase, Tax"
INDIRAMMA Weavers Pension (Urban),"Department of Rural Development, Government of Andhra Pradesh",Destitute weavers aged 50 years or above from Below Poverty Line (BPL) families,"The applicant should be from a BPL family, be a resident of a district of Andhra Pradesh, be 65 years of age or above, be a weaver by profession, and not be covered under any other Pension Scheme.",The scheme provides financial assistance to destitute weavers aged 50 years or above. The pension amount is notified by the Government of Andhra Pradesh and is disbursed on the first date of every month.,"Offline application process involving identification of eligible persons by Ward Sabhas, recommendation and sanction by the Municipal Commissioner, and disbursement of pensions by the Bill Collector.","Pension, Senior Citizen, Urban, Weaver, Below Poverty Line (BPL)"
Capital Contribution Scheme (Goa),"Department of Industries, Government of Goa","Local entrepreneurs, existing functional units, and units that utilize locally developed technology","Clusters/Units which are in operation for a period of at least 3 years, Partnership firms and private limited concerns, Units permanently registered with the Directorate of Industries, Trade and Commerce","Financial support to local entrepreneurs, existing functional units, and units that utilize locally developed technology, Maximum capital contribution up to ₹1,00,00,000/- per unit, Guaranteed return of 6% or actual profit","Offline application to the Directorate of Industries, Trade and Commerce in the specified format along with required documents","Business, Capital, Commerce, Financial Support, Technology"
Sarna /Jahersthan/Hadgadi & Masna Protection and Development Scheme,"Department of Scheduled Tribes, Scheduled Castes, Minorities, and Backward Classes Welfare, Government of Jharkhand","Tribal communities managing Sarna, Jahersthan, Hadgadi, or Masna sites","The site must be an officially recorded Sarna, Jahersthan, Hadgadi, or Masna location. The concerned site should be under tribal community usage and cultural significance. The beneficiary community must form a designated committee consisting of tribal members only. Gram Sabha selection and approval are mandatory for project initiation. The site must be registered under Revenue, Registration & Land Reforms Department records.","The scheme aims to preserve and develop sacred tribal sites. It provides protection, fencing, infrastructure development, and beautification measures to ensure the conservation of tribal culture and traditions. Benefits include fencing of sacred sites, infrastructure development, beautification and preservation, solar-powered lighting, driveway and walkway development, and cultural promotion.","Offline application process involving site identification and proposal preparation, beneficiary committee formation, approval from Gram Sabha, submission to District Welfare Office/ITDA, technical assessment and approval, and administrative sanction.","Tribal Culture, Infrastructure Development, Beautification, Preservation, Solar-Powered Lighting, Cultural Promotion"
Replanting & Rejuvenation of Coconut Garden (R&R),"Department of Agriculture and Farmer's Welfare, Union Territory of Puducherry, Coconut Development Board",All categories of coconut farmers,All categories of coconut farmers with farmer's identity cards/ authenticated land records/documents,"Financial assistance through DBT (Direct Benefit Transfer) mode for cutting & removal, replanting, and integrated management practices",Offline application through Uzhavar Udhaviyagam (Farmers' Help Centres) or the Office of the Additional Director of Agriculture (Horticulture),"Coconut, Farmer, Financial Assistance, Garden, Plant, Seed"
Scheme for assistance for Research & Development Activities: Assistance to Establish Research & Development/Product Development Centre,"Industries and Mines Department, Gujarat","Institutions, industrial associations, and professional bodies recognized by CSIR or DSIR, including legal entities such as companies, LLPs, trusts, societies, and similar organizations","Institutions must be recognized by CSIR or DSIR, and engaged or about to be engaged in the manufacture, production, processing or job work of articles","The scheme provides financial support to eligible institutions for establishing R&D or product development centers, aiming to promote innovation, technological advancements, and product design improvements. Financial assistance of up to 30% of the investment in machinery, equipment, hardware, software, and related assets, with a maximum limit of ₹5,00,00,000/-","Offline application process involving submission of proposal to the Industries Commissionerate, scrutiny by the office of the Industries Commissioner, review and approval by the State Level Empowered Committee (SLEC), and reimbursement of sanctioned assistance","Research and Development, Product Development, Industrial Growth, Environmental Norms, Innovation, Technological Advancements, Product Design Improvements"
Special Health Scheme for Primitive Tribes,"Welfare Department, Government of Jharkhand",Primitive tribal communities,"The applicant should belong to a primitive tribal community and reside in districts covered under the scheme, including Dumka, Sahebganj, Pakur, and Godda.","The scheme aims to improve healthcare access and outcomes for primitive tribal communities. It provides financial assistance of ₹38,41,632 for health-related services and programs to ensure better medical support and infrastructure for the targeted groups.","Offline application process through district welfare offices. Applicants need to visit the district welfare office, fill out the application form, attach necessary documents, and submit it for approval.","Healthcare, Medical, Primitive Tribal, Financial Assistance"
Rani Durgavati and Shankarshah Puraskar Scheme (Reward Scheme for Meritorious Students),"Tribal Welfare and Scheduled Caste (SC) Department, Government of Madhya Pradesh",Meritorious students from the Scheduled Tribe community,"1. Permanent resident of Madhya Pradesh, 2. Student, 3. From Scheduled Tribe (ST) or Scheduled Caste (SC) category, 4. Enrolled in Class 10th or 12th, 5. Selected based on merit list of 10th and 12th board examinations","Provides awards ranging from ₹3,000/- to ₹51,000/- to meritorious students based on their performance in 10th and 12th board examinations","Offline, Step 1: Obtain application form from Office of the Head of the Department (HoD) of the School, Step 2: Fill in the application form, attach documents, and submit to the authority","Education, Merit, Pre Matric, Scholarship, Student"
