Application Process,Eligibility Criteria,Scheme Name,URL,Target Beneficiaries,Ministries/Departments,Tags,Description & Benefits
"Online application through I-Khedut Portal, with 8 steps: 1. Visit the portal, 2. Click on 'Schemes' and then 'Animal Husbandry Schemes', 3. Select the scheme and click 'Apply', 4. Submit a new application, 5. Click 'Update Application' to add corrections, 6. Confirm the application, 7. Take a printout of the confirmed application, 8. Check application status/view/print/upload application details.",1. The applicant must be a livestock owner. 2. The applicant must belong to the General Category. 3. The animal must have recently calved (given birth).,Assistance of Concentrate Feed After Parturition (General Category),https://www.myscheme.gov.in/schemes/acfapgc,Livestock owners belonging to the General Category,"Agriculture, Farmers Welfare and Cooperation Department, Gujarat","Animal Husbandry, Cattle Development, Concentrate Feeds, Milk Production","The scheme provides 150 kg of BIS Type II concentrate feed free of cost to livestock owners during the critical post-parturition period, one month after delivery, to support the health of the mother cattle and the calf."
Online application through Antyodaya-SARAL Portal,The women worker should be registered under Haryana Building and Other Construction Workers Welfare Board (HBOCWWB) and have a minimum of one-year regular membership.,Maternity Benefit Scheme (HBOCWWB),https://www.myscheme.gov.in/schemes/mbs-hbocwwb,Women registered construction workers,"Haryana Building and Other Construction Workers Welfare Board (HBOCWWB), Labour Department Haryana","Maternity, Financial Assistance, Construction Workers, Women, Haryana","Financial assistance of ?36,000/- (i.e. ?30,000/- for motherhood and ?6000/- for nutritious food) will be given to women registered construction workers after the birth of the child."
"Offline application process: 1. Download the application form from the official website. 2. Fill in all the mandatory fields, and attach copies of all the mandatory documents. 3. Submit the duly filled and signed application form along with the documents to the respective General Manager, District Industries & Commerce Centre (DICC).","1. The enterprise should be a Micro, Small, or Medium Enterprise (MSME) in production. 2. The enterprise should be located in Rajasthan. 3. The applicant should possess a valid Udyam Registration Certificate at the time of application. 4. The applicant should have incurred expenses on digitization (software/equipment) after notification of Rajasthan MSME Policy 2024. 5. The applicant should have registered on an eCommerce platform after the notification of Rajasthan MSME Policy 2024.",Assistance for Digitization of Business Processes and Adoption of eCommerce,https://www.myscheme.gov.in/schemes/adbpae,"Micro, Small, and Medium Enterprises (MSMEs) in production","Department of Industries and Commerce, Government of Rajasthan","Digitization Of Business, eCommerce, Financial Assistance, MSME, MSME Policy","The scheme aims to promote digital transformation and enhance the eCommerce capabilities of MSMEs in the state. Financial assistance is provided for adopting software, equipment for digitization, and for registering on eCommerce platforms."
Offline application process. The interested applicant should visit the office of the District Sainik Welfare Office and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. OR The applicant should download the application form from the official website.,"The applicant should be a native of Rajasthan. The applicant should either be a war widow of a martyr or a parent of an unmarried martyr who sacrificed their life in wars, counter-insurgency operations, or aid to civil authorities before 31st March 1999.",Samman Bhatta to War Widows and Parents of Martyrs,https://www.myscheme.gov.in/schemes/sbwwpm,War widows and parents of unmarried martyrs,"Department of Sainik Welfare, Government of Rajasthan","Financial Assistance, Martyrs, War Widows, Parents of Martyrs, Rajasthan","The scheme aims to provide lifelong financial assistance to war widows and parents of unmarried martyrs who sacrificed their lives in various wars, counter-insurgency operations, and aid to civil authorities before 31st March 1999. The amount is deposited directly into the beneficiary’s bank account every month. Samman Bhatta is provided at ?5000/- per month for a lifetime."
"Offline, Collect and submit the prescribed application form to the District Backward & Extremely Backward Class Welfare Office, Saharsa","1. Permanent resident of Bihar, 2. Studying in an educational institution near the hostel, 3. Belong to the Extremely Backward Class (EBC), 4. Studying in Class 10+2 or higher",Jan-Nayak Karpoori Thakur Kalyan Hostel Scheme,https://www.myscheme.gov.in/schemes/jnktkhs,Backward Classes and Extremely Backward Classes students,"BC & EBC Welfare Department, Government of Bihar","Education, Hostel, Student, Backward Classes, Extremely Backward Classes, Bihar","Provides residential facilities to students, 9 kg of rice and 6 kg of wheat per month, and ?1000/- per month under the Chief Minister's Hostel Grant Scheme"
Online application through e-District Portal of the Govt. of NCT of Delhi,"Annual family income limit of ?2,50,000/- and enrollment in a recognized institution",Post Matric Scholarship for SC students (Delhi),https://www.myscheme.gov.in/schemes/pmsfssd,SC students pursuing post-matriculation or post-secondary education in recognized institutions within India,"Department for the Welfare of SC/ST/OBC, Government of NCT of Delhi","Education, Scheduled Caste, Scholarship, Student","Financial assistance to SC students, covering maintenance allowance, tuition fees, and additional allowances for specific needs"
Offline application process: 1. Visit the office of the District Sainik Welfare Office and request a hard copy of the prescribed format of the application form. 2. Fill in all the mandatory fields and attach copies of all the mandatory documents. 3. Submit the duly filled and signed application form along with the documents to the District Sainik Welfare Office.,1. The applicant should be a native of Rajasthan. 2. The applicant should be either an ex-serviceman who served during World War II (1st September 1939 to 15th August 1945) or his widow. 3. The applicant should not be receiving any pension or financial assistance from any other source.,World War II Pension,https://www.myscheme.gov.in/schemes/wwiip,Ex-servicemen who served in World War II and their widows,"Department of Sainik Welfare, Government of Rajasthan","Pension, Ex-servicemen, Widows, World War II, Financial Assistance, Rajasthan","The scheme provides lifelong financial assistance as a measure of relief to World War II ex-servicemen and their widows who are not receiving any pension or financial assistance from any other source. Eligible beneficiaries receive ?15,000/- per month, which is directly deposited into their bank accounts every month."
"Online application through I-Khedut Portal, with 8 steps: register, select scheme, apply, submit, confirm, print, and track application status","Applicant should be a Fisherman, above 18 years of age, have own private land/leased land, and a bank account",To Increase Fish Seed Production and Inland Fisheries Equipment in Non-Tribal Areas,https://www.myscheme.gov.in/schemes/ifsifnta,"Individuals, societies, self-help groups, associations, reservoir monopolies, private units involved in inland fisheries activities","Agriculture, Farmers Welfare and Cooperation Department, Gujarat","Fish Farming, Inland Fisheries, Fish Seed Production, Gujarat, Agriculture, Farmer","Provides financial assistance for fish farming, fish seed rearing, and procurement of essential fisheries equipment, benefiting individuals, societies, and self-help groups involved in inland fisheries"
"The legal heir of the deceased fisherman must collect and fill out the application form, submit it to the concerned district office along with necessary documents, and upon verification, financial assistance will be provided to the eligible beneficiary.",The applicant must be a legal heir of the deceased fisherman. The deceased must have been an active fisherman from Gujarat.,Fishermen Accident Relief Scheme,https://www.myscheme.gov.in/schemes/fars,Families of deceased fishermen in Gujarat,"Agriculture, Farmers Welfare and Cooperation Department, Gujarat","Accidental Assistance, Agriculture, Farmer, Insurance","The scheme provides financial assistance to the families of deceased fishermen in Gujarat in case of death in Pakistan Jail, lost in the sea, or accidental death while fishing at sea. The financial assistance varies based on the cause of death and is meant to help the legal heirs cope with the loss."
Online application through the i-Khedut portal. The applicant must upload necessary documents and follow the steps to submit the application.,"Individuals/societies/self-help groups/associations/reservoir monopolies/private units involved in inland fisheries activities can apply. The applicant should be a Fisherman, belong to the Schedule Caste (SC) category, be above 18 years of age, and have a valid bank account.",Assistance to Scheduled Castes for Fisheries,https://www.myscheme.gov.in/schemes/ifspta,Scheduled Caste fishermen and fish farmers,"Agriculture, Farmers Welfare and Cooperation Department, Gujarat","Fisheries, Scheduled Caste, Gujarat, Agriculture, Fishermen, Fish Farmers","The scheme provides assistance for fish seed rearing, stocking, and transportation, as well as financial aid for boats, nets, and fish sale equipment. Additionally, training programs with stipends are available to enhance skills and productivity in the fisheries sector."
"Offline. For identification of the beneficiaries, the government of J&K may stipulate credible and verifiable documents. The state government will verify the documents and recommend the name of the beneficiaries along with copy of Aadhar card and Aadhar linked bank account number of the beneficiaries to the MHA.","The Claimant/Head of the Displaced Persons family or his/her successor or heir residing within the State should be part of the overall category of 36,384 families belonging to any of the following categories: Pakistan occupied Jammu & Kashmir 1947 Displaced Persons, Chhamb 1965 and 1971 (camp/non-camp) Displaced Persons",Central Assistance For One Time Settlement Of Displaced Families From PoK And Chhamb Under Prime Minister's Development Package,https://www.myscheme.gov.in/schemes/otsdfpc,Displaced families from PoK And Chhamb and settled in the state of Jammu & Kashmir,Ministry Of Home Affairs,"Business, Displaced, Family, Farming, Jammu, Kashmir, Rehabilitation","A relief and rehabilitation scheme providing central assistance to the displaced families from PoK And Chhamb and settled in the state of Jammu & Kashmir. The scheme provides a one-time full and final settlement of Rs. 2,000 crore for rehabilitation package for 36,384 such families against the properties they were forced to part with due to war and hostilities."
"Online application through the official website, with steps including registration, filling up of application form, uploading of required documents, and payment of application fee.","Bachelor of Science degree in Agriculture / Horticulture / Forestry / Agroforestry / Sericulture / Agricultural Marketing/ B.Sc.(10+2+3 System) with 60% marks or its equivalent Overall grade point average (OGPA) for the general category, and 55% marks or its equivalent OGPA for SC/ST/PH candidates.",IASRI Scholarship For M.Sc And Ph.D,https://www.myscheme.gov.in/schemes/iasri-scholarship,M.Sc. and Ph.D. students in Agricultural Statistics and Computer Application,Ministry Of Agriculture and Farmers Welfare,"Agricultural, Scholarship, M.Sc., Ph.D., Indian Council of Agricultural Research, Indian Agricultural Research Institute","Scholarships are offered to all admitted students. An M.Sc. student is granted a scholarship/fellowship of value Rs.7,500/- p.m. In addition to this, M.Sc. students have a contingent grant of Rs.6,000/- per annum, for meeting out the expenditure on study tours, experimental material, purchase of books and preparation of thesis, etc."
Online application process through single window portal website. Registration and login required. Application form to be filled and submitted with required documents.,Should be a New Manufacturing/ Service units or Existing Manufacturing/ Service units which undertakes Expansion/ Diversification in MSME sector. The unit should have commenced the commercial production between 20.05.2022 to 19.05.2027. Unit should be located in the U.T. of Dadra and Nagar Haveli & Daman and Diu. Enterprise shall have to apply at online portal within one year from the date of first disbursement of loan or on or before the date of commencement of commercial production.,"Investment Promotion Scheme (IPS) for Thrust Sectors: Scheme For Medical Equipment And Accessories, Medical Diagnostics And Ayush Products Manufacturing Units",https://www.myscheme.gov.in/schemes/ipsftsame,"Medical Equipment and Accessories, Medical Diagnostics and AYUSH Products Manufacturing Units","Dept. of Industries, U.T. Administration Of Dadra & Nagar Haveli And Daman & Diu","Ayush Products, Entrepreneurship, Incentives, IPS, Medical Accessories, Medical Diagnostics, Medical Equipment, Medical Manufacturing Units, Reimbursement, Subsidy, Thrust Sectors","The scheme provides Capital Investment Subsidy and Credit Linked Interest Subsidy to Medical Equipment and Accessories, Medical Diagnostics and AYUSH Products Manufacturing Units. Benefits include 20% of Gross Fixed Capital Investment made will be reimbursed subject to maximum of ?50,00,000/- per unit and 60% per annum limited to maximum of ?50,00,000/- lakhs per annum for Five years OR for the period of repayment of loan whichever is earlier."
The application process involves approaching the nearby Sewa Kendra or Registering Officers/ Labour Inspector of your area.,"The applicant should be a registered member Under the Building and Other Construction Workers Welfare Board of Punjab, the member should be depositing his contribution to the Board regularly, and the child of the member should be mentally retarded or disabled.",Mentally Retarded Children Benefit Scheme (P.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/mrcbspbocwwb,"Registered workers of the BOCW Welfare Board, Department of Labour, Punjab, and their mentally retarded children","Department of Labour, Punjab","Mentally Retarded, Children, Construction Worker, Labour, Welfare Scheme","The scheme provides financial assistance of ?20,000/- per year for the care of mentally retarded children of construction workers."
"Offline application process: 1. Application for registration is to be made in the prescribed form and is to be accompanied by prescribed documents and a fee of not more than ?50/-. 2. Application for registration has to be made to the officer authorized by the Board on this behalf. 3. A registered worker should request a prescribed format for the application from the officer authorized by the Board and should attach all the mandatory documents (self attested, if required). 4. Application shall be submitted to the Member Secretary (BOCWWB) for this benefit.",1. The applicant should be a resident of U.T. Administration of Dadra and Nagar Haveli and Daman and Diu. 2. The applicant should be a Building/ Construction Worker. 3. The applicant should be between 18 and 60 years. 4. The applicant should have engaged in any building or other construction work for at least 90 days in a given year. 5. The applicant should be a female. 6. The applicant should be a registered member under the Building and Other Construction Workers Welfare Board of U.T. Administration of Dadra and Nagar Haveli and Daman and Diu.,Distribution of Female Menstrual Hygiene Kit for the Construction Workers,https://www.myscheme.gov.in/schemes/dfmkftcw,Registered female workers of the Building and Other Construction Workers Welfare Board,"Labour Department, U.T. Administration of Dadra and Nagar Haveli and Daman and Diu","Building Worker, Construction Worker, Female, Health, Labour, Menstrual Hygiene Kit, Promoting Registration, Wellness",The scheme provides Female Menstrual Hygiene Kit to registered female beneficiaries to increase the hygiene level during their Menstrual period.
"Offline application process: Step 1: Application for registration is to be made in the prescribed form and is to be accompanied by prescribed documents and a fee of not more than ?50/-. Step 2: Application for registration has to be made to the officer authorized by the Board on this behalf. For the application of the welfare scheme: Step 1: Any registered worker can make an application in the prescribed Form-VI along with the mandatory documents (self attested, if required). Step 2: Application shall be submitted to the Member Secretary (BOCWWB) for this benefit.",1. The applicant should be a resident of U.T. Administration of Dadra and Nagar Haveli and Daman and Diu. 2. The applicant should be a Building/ Construction Worker. 3. The applicant should be between 18 and 60 years. 4. The applicant should have engaged in any building or other construction work for at least 90 days in a given year.,Medical Assistance and Wage Loss for the Construction Workers,https://www.myscheme.gov.in/schemes/mawlftcw,Registered workers of the board,"Building and Other Construction Workers Welfare Board, Labour Department, U.T. Administration of Dadra and Nagar Haveli and Daman and Diu","Medical Assistance, Wage Loss, Construction Workers, Labour Department, Dadra and Nagar Haveli and Daman and Diu",The scheme provides reimbursement of actual medical expenses incurred by the beneficiary for injuries sustained during employment upon presentation of original bills and pays half-monthly wages during the period of disablement.
Offline application process involves registration as a Building/ Construction Worker and then applying for the welfare scheme with required documents.,"The applicant should be a resident of U.T. Administration of Dadra and Nagar Haveli and Daman and Diu, should be a Building/ Construction Worker, should be between 18 and 60 years, and should have engaged in any building or other construction work for at least 90 days in a given year.",Self Education for the Construction Workers,https://www.myscheme.gov.in/schemes/seftcw,Registered workers of the Building and Other Construction Workers Welfare Board,"Labour Department, U.T. Administration of Dadra and Nagar Haveli and Daman and Diu","Labour, Construction Workers, Distance Education, Incentive, Reimbursement, Self Education",The scheme provides financial assistance in the form of reimbursement of the course fees for distance education from NOS/ University/ Professional Institute and an incentive for each degree.
Offline application process involves submitting the application in the prescribed form along with mandatory documents to the Member Secretary (BOCWWB).,"The applicant should be a resident of U.T. Administration of Dadra and Nagar Haveli and Daman and Diu, should be a Building/ Construction Worker, should be between 18 and 60 years, and should have engaged in any building or other construction work for at least 90 days in a given year.",Payment of Funeral Assistance for the Construction Workers,https://www.myscheme.gov.in/schemes/pofaftcw,Registered workers of the Building and Other Construction Workers Welfare Board,"Labour Department, U.T. Administration of Dadra and Nagar Haveli and Daman and Diu","Funeral Assistance, Construction Workers, Labour Welfare, Dadra and Nagar Haveli and Daman and Diu","The scheme provides financial assistance of ?20,000/- to the nominees/ dependents towards funeral expenses in case of death of a registered member or spouse."
"Offline application process. Step 1: Application for registration is to be made in the prescribed form and is to be accompanied by prescribed documents and a fee of not more than ?50/-. Step 2: Application for registration has to be made to the officer authorized by the Board. For the welfare scheme, Step 1: Any registered worker can make an application in the prescribed Form-IV along with the mandatory documents (self attested, if required). Step 2: Application shall be submitted to the Member Secretary (BOCWWB) for this benefit.",1. The applicant should be a resident of U.T. Administration of Dadra and Nagar Haveli and Daman and Diu. 2. The applicant should be a Building/ Construction Worker. 3. The applicant should be between 18 and 60 years. 4. The applicant should have engaged in any building or other construction work for at least 90 days in a given year. 5. Registered member Under the Building and Other Construction Workers Welfare Board of U.T. Administration of Dadra and Nagar Haveli and Daman and Diu. 6. The applicant should have completed one year membership with the Board. 7. The applicant should not have a pucca house. 8. The proposed house should be constructed on the applicant's own land.,Grant of Token Amount for Construction of House for the Construction Workers,https://www.myscheme.gov.in/schemes/gtachcw,Registered workers of the Building and Other Construction Workers Welfare Board,"Labour Department, U.T. Administration of Dadra and Nagar Haveli and Daman and Diu","Construction Workers, Labour, Housing, Financial Assistance, Welfare Scheme","The scheme provides financial assistance for construction of house in their own land. The benefits include a token amount of ?75,000/-, and additional amounts for applicants covered under Pradhan Mantri Awas Yojna (Gramin) and Pradhan Mantri Awas Yojna (Urban)."
"Online application through the Corporation's official website, followed by submission of physical documents to the concerned Deputy Director (Non-Reserved Category) or the District Social Welfare Officer","Resident of Gujarat, age between 18 and 50 years, annual family income limit of ?6,00,000/- or less, willing to repay the loan in equal monthly installments over 5 years",Self-Employment Scheme: Nana Vyavasay Mate Loan Yojana,https://www.myscheme.gov.in/schemes/sesnvmly,Unemployed or self-employed individuals from the unreserved category in Gujarat,"Social Justice and Empowerment Department, Gujarat","Business, Entrepreneurship, Loan, Self Employment","Provides financial assistance of up to ?10,00,000/- or actual expenditure incurred, whichever is less, for starting or expanding self-employment businesses"
"Offline application process: Collect application form from nearest Village (Dweep) Panchayat office, fill out the form and attach supporting documents, submit to the Executive Officer at the Village (Dweep) Panchayat office","1. Permanent resident of the Union Territory of Lakshadweep, 2. Widow, 3. Not remarried, 4. Nominal income not exceeding ?1,500/- per month (?18,000/- per annum), 5. Not a beneficiary of any other similar pension scheme provided by the government",Union Territory of Lakshadweep Pension Scheme for Widows,https://www.myscheme.gov.in/schemes/wspsl,Widows who have not remarried and have no source of income,"Social Welfare & Tribal Affairs Department, Union Territory of Lakshadweep","Pension, Widow, Financial Assistance, Lakshadweep","Provides monthly financial assistance of ?1,500/- per month (?18,000/- per annum) to eligible widows, directly transferred to the beneficiary’s bank account"
"Offline, approach the nearest Nari Adalat with your concern",The applicant must be a woman/girl,Nari Adalat,https://www.myscheme.gov.in/schemes/nari-adalat,Women and girls,Ministry of Women and Child Development,"Women empowerment, justice, grievance redressal, affordable justice, conflict resolution, reconciliation, awareness generation","Provides an alternate Grievance Redressal Mechanism for resolving cases of petty nature (harassment, subversion, curtailment of rights or entitlements) faced by women at Gram panchayat level by negotiation, mediation, and reconciliation with mutual consent for speedy, accessible, and affordable justice. It also provides a platform for awareness of rights, entitlements, social facilitation, and hand holding of women-centric organizations."
"Online application through National Scholarship Portal. Steps include registration, filling the application form, uploading documents, and submitting the application.",The candidate should be admitted to the First year of the Degree level course OR the Second year of the Degree level course through lateral entry in any of the AICTE-approved institutions of the respective year. Specially-abled students have a disability of not less than 40%. Family income from all sources should not be more than Rs. 8 lakh per annum during the current financial year.,AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Degree),https://www.myscheme.gov.in/schemes/sak-deg,Specially-abled students,Ministry of Education,"Scholarship, Technical Education, Specially-Abled, Degree Course","?50,000/- per annum for every year of study i.e. maximum 4 years for the first year admitted students and maximum 3 years for the second year admitted students through lateral entry as lump sum amount towards payment of college fee, purchase of computer, stationeries, books, equipment, software, etc."
"Online application process with 4 steps: Registration, Filling of Application Form, Uploading of Documents, and Final Submission.","The candidate should be one of the following: (i) an orphan, OR (ii) whose either or both parents died due to Covid 19, OR (iii) Ward of Armed Forces and Central Paramilitary Forces martyred in action (Shaheed). The family income from all sources should not be more than ?8,00,000 per annum during the financial year of the application. The candidate should be currently studying in the AICTE Approved institutions and courses at the Degree/Diploma level in regular mode (in 1st /2nd / 3rd /4th year). The candidate should NOT be a Recipient of any of the Central Govt. / State Govt. / AICTE Sponsored scholarships.",AICTE-Swanath Scholarship Scheme For Students,https://www.myscheme.gov.in/schemes/aicte-ssss,"Orphans, wards of parents who died due to Covid-19, wards of Armed Forces, and Central Paramilitary Forces martyred in action (Shaheed)",Ministry of Education,"Scholarship, Education, Orphan, Covid-19, Armed Forces, Central Paramilitary Forces","A scholarship scheme by the Student Development Cell (StDC) of All India Council for Technical Education (AICTE) to provide encouragement and support to orphans, wards of parents who died due to Covid-19, wards of Armed Forces, and Central Paramilitary Forces martyred in action (Shaheed) to pursue education. This is an attempt to give every such child, an opportunity to study further and prepare for a successful future through education in AICTE Approved institutions and courses. ?50,000.00 per annum for every year of study i.e. maximum 4 years duration for first-year admitted Degree students and maximum 3 years for Diploma Students as lump sum amount towards payment of college fee, purchase of computer, stationeries, books, equipment, software, etc."
"Offline application process involving registration, document submission, and verification by Zila Sainik Welfare Office (ZSWO) and Kendriya Sainik Board (KSB) Secretariat.",1. The applicant should be an Ex-Serviceman. 2. The applicant should be disabled after retirement from the service. 3. The percentage of the disability should be 50% or more. 4. The applicant should not be covered under a similar scheme of the Army/Navy/Air Force. 5. The application of the applicant should be recommended by the respective Zila Sainik Board (ZSB). 6. The applicant should be capable of personally utilizing the mobility equipment provided.,Financial Assistance For Procuring Mobility Equipment To Disabled Ex-Servicemen (All Ranks),https://www.myscheme.gov.in/schemes/affdf,Ex-Servicemen (ESM) who are disabled after their retirement from service with disability of 50% or more,Ministry Of Defence,"Ex-Servicemen, Disability, Mobility Equipment, Financial Assistance","The scheme provides financial assistance for the procurement of modified scooter for those Ex-Servicemen (ESM), who are disabled after their retirement from service with disability of 50% or more. The benefits include a financial assistance of a maximum of ? 1,00,000 and the beneficiary can re-apply for new mobility equipment after the lapse of 10 years from the date of purchase of the previous equipment."
"Offline, by downloading the application form and sending it along with required documents to the Department of Empowerment of Persons with Disabilities","The applicant must be a student, admitted into Master's level courses and Ph.D. courses abroad, with a disability percentage of 40% & above, and an age of 35 years or lesser, with a total family income not exceeding ? 6 lakh per annum.",National Overseas Scholarship For Students With Disabilities,https://www.myscheme.gov.in/schemes/nos-swd,Students with disabilities,Ministry Of Social Justice and Empowerment,"Scholarship, Students with Disabilities, Higher Education, Master's Degree, Ph.D., Foreign Universities","A scholarship scheme to support students with disabilities to obtain higher education viz., Master's degree, or Ph.D. courses from foreign universities, in one of the specified fields of study. The scheme provides various benefits including annual maintenance allowance, contingency allowance, equipment allowance, tuition fees, visa fees, poll tax, medical insurance premium, incidental journey allowance, and air passage."
"The applicants can apply online through Research Leadership Building System (RLBS) Portal of ICAR. The last date to apply is 03 March, 2023.",The applicant should be an outstanding superannuated teacher/Scientist with a good record of published work and teaching/training experience of a minimum of 5 years. The teacher/Professor who is to retire in the next 12 months time is eligible to apply.,ICAR Emeritus Professor,https://www.myscheme.gov.in/schemes/icar-ep,"Superannuated teachers/Scientists of universities, colleges and institutions under the ICAR-AU System",Ministry Of Agriculture and Farmers Welfare,"Agriculture, Education, Research, ICAR, Emeritus Professor","The ICAR Emeritus Professor Scheme aims to utilize the talent and services of outstanding superannuated scientists/ teachers from NARES in teaching UG/ PG courses, other related activities, student research guidance and developing instructional material/ Text Books including e-learning resources for use in the national agricultural education programme and distance education. The benefits include Honorarium of Rs. 50,000/- p.m., Contingency grant (Non-lapsable) of Rs.1,00,000/- p. a. towards secretarial assistance, travel within the country connected with the assignment, stationery, postage, consumables, books and journals."
"Online application process through the Gujarat Unreserved Education and Economical Development Corporation's website. Steps include registration, login, scheme details, address confirmation, document upload, and submission.","1. Belong to a non-reserved category. 2. Obtained 70% or more marks in Class 10th/ 11th/ 12th. 3. From Science stream. 4. Pursuing coaching for JEE, GUJCET, or NEET. 5. Coaching institute must have at least 3 years of experience. 6. Annual family income of ?4,50,000/- or less.",Coaching Help Scheme for JEE-GUJCET-NEET Exams,https://www.myscheme.gov.in/schemes/chsjgne,Non-reserved category students pursuing professional courses in medical and engineering fields,"Social Justice and Empowerment Department, Gujarat","Coaching Assistance, Engineering, GUJCET, JEE, Medical, NEET","Provides financial aid for coaching to support non-reserved category students in pursuing professional courses in medical and engineering fields. Financial assistance of ?20,000 per year per student or actual fee, whichever is lower."
"Offline application process involving 7 steps: printing and filling the application form, attaching required documents, submitting to the Primary Weaver Cooperative Society, verification by the society, forwarding to the District Handloom Office, review by the selection committee, and final approval by the Managing Director.","The student must be from a family of weavers who are members of Primary Weaver Cooperative Societies affiliated to the State Handloom Union, Raipur. The student must be a resident of Chhattisgarh. The student's mother/father must be a regular member of a weaver cooperative society. The student must have secured admission in the first year of Engineering/Medical/CA/MBA course in any government college. More than 50% of the parent's income should be from weaving.",Uchch Shiksha Puraskar Yojana,https://www.myscheme.gov.in/schemes/uspy,Talented students from weaver families,"Chhattisgarh State Handloom Development and Marketing Cooperative Union Limited, Raipur","Education, Handloom, Scholarship, Student, College","The scheme provides financial incentives to students from weaver families who secure admission to professional courses in government colleges. A financial incentive of ?20,000/- is provided as an encouragement award to eligible students."
"The application process involves online registration, filling out the application form, uploading required documents, and submitting the application.","The applicant must belong to a non-reserved category, have scored at least 60% in Standard-12, and have secured admission to an eligible foreign university for MBBS, graduation, post-graduation, or an equivalent diploma course. Additionally, the applicant’s family income must be ?6,00,000/- or less.",Foreign Education Scheme,https://www.myscheme.gov.in/schemes/fesg,Meritorious students from economically weaker sections who wish to pursue higher education abroad,"Social Justice and Empowerment Department, Gujarat","Foreign Education, Higher Education, Student Loan, Gujarat","The scheme provides financial assistance to cover tuition fees, living expenses, and other educational costs. The repayment structure is flexible, ensuring students can repay the loan after completing their studies."
"Online application through the corporation's website, followed by submission of required documents to the concerned Deputy Director (Non-Reserved Category) or the District Social Welfare Officer.","1. The applicant must be a resident of Gujarat. 2. The applicant must belong to the unreserved category. 3. The applicant's age should be between 18 years and 50 years. 4. The applicant must have a valid driving license. 5. The vehicle purchased under the scheme must be mortgaged (hypothecated) to the corporation. 6. The applicant must be willing to repay the loan in equal monthly installments over 5 years. 7. The annual income limit of the family should be ?6,00,000/- or less.",Self-Employment Scheme: Vahan Loan Sahay Yojana,https://www.myscheme.gov.in/schemes/vlsy,Self-employed individuals,"Social Justice and Empowerment Department, Gujarat","Business, Self Employment, Vehicle Loan","Financial assistance as on-road unit cost for purchasing vehicles such as rickshaws, loading rickshaws, Maruti cars, jeep taxis, etc."
"Offline, through a single universal toll-free number across the country, which is 181",Any women in distress seeking emergency/non-emergency services or information or any other individual on her behalf,Women Helpline 181,https://www.myscheme.gov.in/schemes/whl-181,Women in distress seeking emergency/non-emergency services or information,Ministry of Women and Child Development,"Women, Emergency, Non-Emergency, Helpline, Violence, Safety, Response, Counselling","Provides 24X7 emergency and non-emergency response through telephonic short-code 181, linking women with appropriate authorities, and providing information about women welfare schemes and services."
Applicants can apply online through the official portal Antyodaya-SARAL Portal or the official website of NSFDC.,"The applicant should be a permanent resident of Haryana, female, aged between 18 and 55 years, and either a Safai Karamchari or a dependent of one. There is no income limit.",Mahila Samridhi Yojana under NSKFDC- Haryana,https://www.myscheme.gov.in/schemes/msynskfdc-h,Women Safai Karamcharis or their dependents,Haryana Scheduled Castes Finance and Development Corporation (HSFDC) in collaboration with the National Safai Karamcharis Finance & Development Corporation (NSKFDC),"Loan, Mahila, NSKFDC, Safai Karamcharis, Samridhi, Self-employment, Woman","The scheme offers loans up to ?1,00,000/- to women Safai Karamcharis or their dependents for economic development through self-employment initiatives, such as establishing cloth shops, dairies, tea shops, bangle shops, beauty parlours, papad making, basketry, tailoring shops, etc. The Corporation contributes margin money at 10% of the project cost."
Online application through Antyodaya-SARAL Portal,"1. The applicant should be the widow of an ex-serviceman. 2. The widow should be a resident of Haryana. 3. The benefit is provided for up to three children of the widow. 4. The benefit continues until the child dies, attains the age of 20 years, gets married, or becomes employed, whichever is the earliest.",Additional Pension to Widow of Ex-Serviceman having Children,https://www.myscheme.gov.in/schemes/apwesmc,Widow of an ex-serviceman who dies while in service but not in any battle,"Sainik and Ardh Sainik Welfare Department, Government of Haryana","Pension, Ex-Serviceman, Widow, Children, Haryana","An additional amount, in addition to the pension, is provided to the widow of an ex-serviceman who dies while in service but not in any battle. This additional amount is given for up to three children and continues until the child dies, reaches the age of 20 years, gets married, or becomes employed, whichever is the earliest."
"Offline application process: Collect application form from Village (Dweep) Panchayat office, fill out and attach supporting documents, submit to Executive Officer at Village (Dweep) Panchayat office","1. Permanent resident of the Union Territory of Lakshadweep, 2. Above 60 years of age, 3. Monthly income not exceeding ?1,500/- (?18,000 per annum), 4. No source of income, 5. Not a beneficiary of any other similar pension scheme provided by the government",Union Territory of Lakshadweep Pension Scheme for Old Age,https://www.myscheme.gov.in/schemes/oaspsl,Senior citizens in the UT above 60 years of age who do not have any source of income,"Social Welfare & Tribal Affairs Department, Union Territory of Lakshadweep","Financial Assistance, Old Age, Pension, Senior Citizen","Provides monthly financial assistance of ?1,500/- to senior citizens in the UT, directly transferred to the beneficiary’s bank account"
