Application Process,Description & Benefits,URL,Ministries/Departments,Eligibility Criteria,Tags,Scheme Name,Target Beneficiaries
The application process involves approaching the nearby Sewa Kendra or Registering Officers/ Labour Inspector of your area.,"The scheme provides financial assistance of ₹20,000/- per year for the care of mentally retarded children of construction workers.",https://www.myscheme.gov.in/schemes/mrcbspbocwwb,"Department of Labour, Punjab","The applicant should be a registered member Under the Building and Other Construction Workers Welfare Board of Punjab, the member should be depositing his contribution to the Board regularly, and the child of the member should be mentally retarded or disabled.","Mentally Retarded, Children, Construction Worker, Labour, Welfare Scheme",Mentally Retarded Children Benefit Scheme (P.B.O.C.W.W.B),"Registered workers of the BOCW Welfare Board, Department of Labour, Punjab, and their mentally retarded children"
"Offline application process: 1. Application for registration is to be made in the prescribed form and is to be accompanied by prescribed documents and a fee of not more than ₹50/-. 2. Application for registration has to be made to the officer authorized by the Board on this behalf. 3. A registered worker should request a prescribed format for the application from the officer authorized by the Board and should attach all the mandatory documents (self attested, if required). 4. Application shall be submitted to the Member Secretary (BOCWWB) for this benefit.",The scheme provides Female Menstrual Hygiene Kit to registered female beneficiaries to increase the hygiene level during their Menstrual period.,https://www.myscheme.gov.in/schemes/dfmkftcw,"Labour Department, U.T. Administration of Dadra and Nagar Haveli and Daman and Diu",1. The applicant should be a resident of U.T. Administration of Dadra and Nagar Haveli and Daman and Diu. 2. The applicant should be a Building/ Construction Worker. 3. The applicant should be between 18 and 60 years. 4. The applicant should have engaged in any building or other construction work for at least 90 days in a given year. 5. The applicant should be a female. 6. The applicant should be a registered member under the Building and Other Construction Workers Welfare Board of U.T. Administration of Dadra and Nagar Haveli and Daman and Diu.,"Building Worker, Construction Worker, Female, Health, Labour, Menstrual Hygiene Kit, Promoting Registration, Wellness",Distribution of Female Menstrual Hygiene Kit for the Construction Workers,Registered female workers of the Building and Other Construction Workers Welfare Board
"Offline application process: Step 1: Application for registration is to be made in the prescribed form and is to be accompanied by prescribed documents and a fee of not more than ₹50/-. Step 2: Application for registration has to be made to the officer authorized by the Board on this behalf. For the application of the welfare scheme: Step 1: Any registered worker can make an application in the prescribed Form-VI along with the mandatory documents (self attested, if required). Step 2: Application shall be submitted to the Member Secretary (BOCWWB) for this benefit.",The scheme provides reimbursement of actual medical expenses incurred by the beneficiary for injuries sustained during employment upon presentation of original bills and pays half-monthly wages during the period of disablement.,https://www.myscheme.gov.in/schemes/mawlftcw,"Building and Other Construction Workers Welfare Board, Labour Department, U.T. Administration of Dadra and Nagar Haveli and Daman and Diu",1. The applicant should be a resident of U.T. Administration of Dadra and Nagar Haveli and Daman and Diu. 2. The applicant should be a Building/ Construction Worker. 3. The applicant should be between 18 and 60 years. 4. The applicant should have engaged in any building or other construction work for at least 90 days in a given year.,"Medical Assistance, Wage Loss, Construction Workers, Labour Department, Dadra and Nagar Haveli and Daman and Diu",Medical Assistance and Wage Loss for the Construction Workers,Registered workers of the board
Offline application process involves registration as a Building/ Construction Worker and then applying for the welfare scheme with required documents.,The scheme provides financial assistance in the form of reimbursement of the course fees for distance education from NOS/ University/ Professional Institute and an incentive for each degree.,https://www.myscheme.gov.in/schemes/seftcw,"Labour Department, U.T. Administration of Dadra and Nagar Haveli and Daman and Diu","The applicant should be a resident of U.T. Administration of Dadra and Nagar Haveli and Daman and Diu, should be a Building/ Construction Worker, should be between 18 and 60 years, and should have engaged in any building or other construction work for at least 90 days in a given year.","Labour, Construction Workers, Distance Education, Incentive, Reimbursement, Self Education",Self Education for the Construction Workers,Registered workers of the Building and Other Construction Workers Welfare Board
Offline application process involves submitting the application in the prescribed form along with mandatory documents to the Member Secretary (BOCWWB).,"The scheme provides financial assistance of ₹20,000/- to the nominees/ dependents towards funeral expenses in case of death of a registered member or spouse.",https://www.myscheme.gov.in/schemes/pofaftcw,"Labour Department, U.T. Administration of Dadra and Nagar Haveli and Daman and Diu","The applicant should be a resident of U.T. Administration of Dadra and Nagar Haveli and Daman and Diu, should be a Building/ Construction Worker, should be between 18 and 60 years, and should have engaged in any building or other construction work for at least 90 days in a given year.","Funeral Assistance, Construction Workers, Labour Welfare, Dadra and Nagar Haveli and Daman and Diu",Payment of Funeral Assistance for the Construction Workers,Registered workers of the Building and Other Construction Workers Welfare Board
"Offline application process. Step 1: Application for registration is to be made in the prescribed form and is to be accompanied by prescribed documents and a fee of not more than ₹50/-. Step 2: Application for registration has to be made to the officer authorized by the Board. For the welfare scheme, Step 1: Any registered worker can make an application in the prescribed Form-IV along with the mandatory documents (self attested, if required). Step 2: Application shall be submitted to the Member Secretary (BOCWWB) for this benefit.","The scheme provides financial assistance for construction of house in their own land. The benefits include a token amount of ₹75,000/-, and additional amounts for applicants covered under Pradhan Mantri Awas Yojna (Gramin) and Pradhan Mantri Awas Yojna (Urban).",https://www.myscheme.gov.in/schemes/gtachcw,"Labour Department, U.T. Administration of Dadra and Nagar Haveli and Daman and Diu",1. The applicant should be a resident of U.T. Administration of Dadra and Nagar Haveli and Daman and Diu. 2. The applicant should be a Building/ Construction Worker. 3. The applicant should be between 18 and 60 years. 4. The applicant should have engaged in any building or other construction work for at least 90 days in a given year. 5. Registered member Under the Building and Other Construction Workers Welfare Board of U.T. Administration of Dadra and Nagar Haveli and Daman and Diu. 6. The applicant should have completed one year membership with the Board. 7. The applicant should not have a pucca house. 8. The proposed house should be constructed on the applicant's own land.,"Construction Workers, Labour, Housing, Financial Assistance, Welfare Scheme",Grant of Token Amount for Construction of House for the Construction Workers,Registered workers of the Building and Other Construction Workers Welfare Board
"Online application through the Corporation's official website, followed by submission of physical documents to the concerned Deputy Director (Non-Reserved Category) or the District Social Welfare Officer","Provides financial assistance of up to ₹10,00,000/- or actual expenditure incurred, whichever is less, for starting or expanding self-employment businesses",https://www.myscheme.gov.in/schemes/sesnvmly,"Social Justice and Empowerment Department, Gujarat","Resident of Gujarat, age between 18 and 50 years, annual family income limit of ₹6,00,000/- or less, willing to repay the loan in equal monthly installments over 5 years","Business, Entrepreneurship, Loan, Self Employment",Self-Employment Scheme: Nana Vyavasay Mate Loan Yojana,Unemployed or self-employed individuals from the unreserved category in Gujarat
"Offline application process: Collect application form from nearest Village (Dweep) Panchayat office, fill out the form and attach supporting documents, submit to the Executive Officer at the Village (Dweep) Panchayat office","Provides monthly financial assistance of ₹1,500/- per month (₹18,000/- per annum) to eligible widows, directly transferred to the beneficiary’s bank account",https://www.myscheme.gov.in/schemes/wspsl,"Social Welfare & Tribal Affairs Department, Union Territory of Lakshadweep","1. Permanent resident of the Union Territory of Lakshadweep, 2. Widow, 3. Not remarried, 4. Nominal income not exceeding ₹1,500/- per month (₹18,000/- per annum), 5. Not a beneficiary of any other similar pension scheme provided by the government","Pension, Widow, Financial Assistance, Lakshadweep",Union Territory of Lakshadweep Pension Scheme for Widows,Widows who have not remarried and have no source of income
"Offline, approach the nearest Nari Adalat with your concern","Provides an alternate Grievance Redressal Mechanism for resolving cases of petty nature (harassment, subversion, curtailment of rights or entitlements) faced by women at Gram panchayat level by negotiation, mediation, and reconciliation with mutual consent for speedy, accessible, and affordable justice. It also provides a platform for awareness of rights, entitlements, social facilitation, and hand holding of women-centric organizations.",https://www.myscheme.gov.in/schemes/nari-adalat,Ministry of Women and Child Development,The applicant must be a woman/girl,"Women empowerment, justice, grievance redressal, affordable justice, conflict resolution, reconciliation, awareness generation",Nari Adalat,Women and girls
"Online application through National Scholarship Portal. Steps include registration, filling the application form, uploading documents, and submitting the application.","₹50,000/- per annum for every year of study i.e. maximum 4 years for the first year admitted students and maximum 3 years for the second year admitted students through lateral entry as lump sum amount towards payment of college fee, purchase of computer, stationeries, books, equipment, software, etc.",https://www.myscheme.gov.in/schemes/sak-deg,Ministry of Education,The candidate should be admitted to the First year of the Degree level course OR the Second year of the Degree level course through lateral entry in any of the AICTE-approved institutions of the respective year. Specially-abled students have a disability of not less than 40%. Family income from all sources should not be more than Rs. 8 lakh per annum during the current financial year.,"Scholarship, Technical Education, Specially-Abled, Degree Course",AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Degree),Specially-abled students
"Online application process with 4 steps: Registration, Filling of Application Form, Uploading of Documents, and Final Submission.","A scholarship scheme by the Student Development Cell (StDC) of All India Council for Technical Education (AICTE) to provide encouragement and support to orphans, wards of parents who died due to Covid-19, wards of Armed Forces, and Central Paramilitary Forces martyred in action (Shaheed) to pursue education. This is an attempt to give every such child, an opportunity to study further and prepare for a successful future through education in AICTE Approved institutions and courses. ₹50,000.00 per annum for every year of study i.e. maximum 4 years duration for first-year admitted Degree students and maximum 3 years for Diploma Students as lump sum amount towards payment of college fee, purchase of computer, stationeries, books, equipment, software, etc.",https://www.myscheme.gov.in/schemes/aicte-ssss,Ministry of Education,"The candidate should be one of the following: (i) an orphan, OR (ii) whose either or both parents died due to Covid 19, OR (iii) Ward of Armed Forces and Central Paramilitary Forces martyred in action (Shaheed). The family income from all sources should not be more than ₹8,00,000 per annum during the financial year of the application. The candidate should be currently studying in the AICTE Approved institutions and courses at the Degree/Diploma level in regular mode (in 1st /2nd / 3rd /4th year). The candidate should NOT be a Recipient of any of the Central Govt. / State Govt. / AICTE Sponsored scholarships.","Scholarship, Education, Orphan, Covid-19, Armed Forces, Central Paramilitary Forces",AICTE-Swanath Scholarship Scheme For Students,"Orphans, wards of parents who died due to Covid-19, wards of Armed Forces, and Central Paramilitary Forces martyred in action (Shaheed)"
"Offline application process involving registration, document submission, and verification by Zila Sainik Welfare Office (ZSWO) and Kendriya Sainik Board (KSB) Secretariat.","The scheme provides financial assistance for the procurement of modified scooter for those Ex-Servicemen (ESM), who are disabled after their retirement from service with disability of 50% or more. The benefits include a financial assistance of a maximum of ₹ 1,00,000 and the beneficiary can re-apply for new mobility equipment after the lapse of 10 years from the date of purchase of the previous equipment.",https://www.myscheme.gov.in/schemes/affdf,Ministry Of Defence,1. The applicant should be an Ex-Serviceman. 2. The applicant should be disabled after retirement from the service. 3. The percentage of the disability should be 50% or more. 4. The applicant should not be covered under a similar scheme of the Army/Navy/Air Force. 5. The application of the applicant should be recommended by the respective Zila Sainik Board (ZSB). 6. The applicant should be capable of personally utilizing the mobility equipment provided.,"Ex-Servicemen, Disability, Mobility Equipment, Financial Assistance",Financial Assistance For Procuring Mobility Equipment To Disabled Ex-Servicemen (All Ranks),Ex-Servicemen (ESM) who are disabled after their retirement from service with disability of 50% or more
"Offline, by downloading the application form and sending it along with required documents to the Department of Empowerment of Persons with Disabilities","A scholarship scheme to support students with disabilities to obtain higher education viz., Master's degree, or Ph.D. courses from foreign universities, in one of the specified fields of study. The scheme provides various benefits including annual maintenance allowance, contingency allowance, equipment allowance, tuition fees, visa fees, poll tax, medical insurance premium, incidental journey allowance, and air passage.",https://www.myscheme.gov.in/schemes/nos-swd,Ministry Of Social Justice and Empowerment,"The applicant must be a student, admitted into Master's level courses and Ph.D. courses abroad, with a disability percentage of 40% & above, and an age of 35 years or lesser, with a total family income not exceeding ₹ 6 lakh per annum.","Scholarship, Students with Disabilities, Higher Education, Master's Degree, Ph.D., Foreign Universities",National Overseas Scholarship For Students With Disabilities,Students with disabilities
"The applicants can apply online through Research Leadership Building System (RLBS) Portal of ICAR. The last date to apply is 03 March, 2023.","The ICAR Emeritus Professor Scheme aims to utilize the talent and services of outstanding superannuated scientists/ teachers from NARES in teaching UG/ PG courses, other related activities, student research guidance and developing instructional material/ Text Books including e-learning resources for use in the national agricultural education programme and distance education. The benefits include Honorarium of Rs. 50,000/- p.m., Contingency grant (Non-lapsable) of Rs.1,00,000/- p. a. towards secretarial assistance, travel within the country connected with the assignment, stationery, postage, consumables, books and journals.",https://www.myscheme.gov.in/schemes/icar-ep,Ministry Of Agriculture and Farmers Welfare,The applicant should be an outstanding superannuated teacher/Scientist with a good record of published work and teaching/training experience of a minimum of 5 years. The teacher/Professor who is to retire in the next 12 months time is eligible to apply.,"Agriculture, Education, Research, ICAR, Emeritus Professor",ICAR Emeritus Professor,"Superannuated teachers/Scientists of universities, colleges and institutions under the ICAR-AU System"
"Online application process through the Gujarat Unreserved Education and Economical Development Corporation's website. Steps include registration, login, scheme details, address confirmation, document upload, and submission.","Provides financial aid for coaching to support non-reserved category students in pursuing professional courses in medical and engineering fields. Financial assistance of ₹20,000 per year per student or actual fee, whichever is lower.",https://www.myscheme.gov.in/schemes/chsjgne,"Social Justice and Empowerment Department, Gujarat","1. Belong to a non-reserved category. 2. Obtained 70% or more marks in Class 10th/ 11th/ 12th. 3. From Science stream. 4. Pursuing coaching for JEE, GUJCET, or NEET. 5. Coaching institute must have at least 3 years of experience. 6. Annual family income of ₹4,50,000/- or less.","Coaching Assistance, Engineering, GUJCET, JEE, Medical, NEET",Coaching Help Scheme for JEE-GUJCET-NEET Exams,Non-reserved category students pursuing professional courses in medical and engineering fields
"Offline application process involving 7 steps: printing and filling the application form, attaching required documents, submitting to the Primary Weaver Cooperative Society, verification by the society, forwarding to the District Handloom Office, review by the selection committee, and final approval by the Managing Director.","The scheme provides financial incentives to students from weaver families who secure admission to professional courses in government colleges. A financial incentive of ₹20,000/- is provided as an encouragement award to eligible students.",https://www.myscheme.gov.in/schemes/uspy,"Chhattisgarh State Handloom Development and Marketing Cooperative Union Limited, Raipur","The student must be from a family of weavers who are members of Primary Weaver Cooperative Societies affiliated to the State Handloom Union, Raipur. The student must be a resident of Chhattisgarh. The student's mother/father must be a regular member of a weaver cooperative society. The student must have secured admission in the first year of Engineering/Medical/CA/MBA course in any government college. More than 50% of the parent's income should be from weaving.","Education, Handloom, Scholarship, Student, College",Uchch Shiksha Puraskar Yojana,Talented students from weaver families
"The application process involves online registration, filling out the application form, uploading required documents, and submitting the application.","The scheme provides financial assistance to cover tuition fees, living expenses, and other educational costs. The repayment structure is flexible, ensuring students can repay the loan after completing their studies.",https://www.myscheme.gov.in/schemes/fesg,"Social Justice and Empowerment Department, Gujarat","The applicant must belong to a non-reserved category, have scored at least 60% in Standard-12, and have secured admission to an eligible foreign university for MBBS, graduation, post-graduation, or an equivalent diploma course. Additionally, the applicant’s family income must be ₹6,00,000/- or less.","Foreign Education, Higher Education, Student Loan, Gujarat",Foreign Education Scheme,Meritorious students from economically weaker sections who wish to pursue higher education abroad
"Online application through the corporation's website, followed by submission of required documents to the concerned Deputy Director (Non-Reserved Category) or the District Social Welfare Officer.","Financial assistance as on-road unit cost for purchasing vehicles such as rickshaws, loading rickshaws, Maruti cars, jeep taxis, etc.",https://www.myscheme.gov.in/schemes/vlsy,"Social Justice and Empowerment Department, Gujarat","1. The applicant must be a resident of Gujarat. 2. The applicant must belong to the unreserved category. 3. The applicant's age should be between 18 years and 50 years. 4. The applicant must have a valid driving license. 5. The vehicle purchased under the scheme must be mortgaged (hypothecated) to the corporation. 6. The applicant must be willing to repay the loan in equal monthly installments over 5 years. 7. The annual income limit of the family should be ₹6,00,000/- or less.","Business, Self Employment, Vehicle Loan",Self-Employment Scheme: Vahan Loan Sahay Yojana,Self-employed individuals
"Offline, through a single universal toll-free number across the country, which is 181","Provides 24X7 emergency and non-emergency response through telephonic short-code 181, linking women with appropriate authorities, and providing information about women welfare schemes and services.",https://www.myscheme.gov.in/schemes/whl-181,Ministry of Women and Child Development,Any women in distress seeking emergency/non-emergency services or information or any other individual on her behalf,"Women, Emergency, Non-Emergency, Helpline, Violence, Safety, Response, Counselling",Women Helpline 181,Women in distress seeking emergency/non-emergency services or information
Applicants can apply online through the official portal Antyodaya-SARAL Portal or the official website of NSFDC.,"The scheme offers loans up to ₹1,00,000/- to women Safai Karamcharis or their dependents for economic development through self-employment initiatives, such as establishing cloth shops, dairies, tea shops, bangle shops, beauty parlours, papad making, basketry, tailoring shops, etc. The Corporation contributes margin money at 10% of the project cost.",https://www.myscheme.gov.in/schemes/msynskfdc-h,Haryana Scheduled Castes Finance and Development Corporation (HSFDC) in collaboration with the National Safai Karamcharis Finance & Development Corporation (NSKFDC),"The applicant should be a permanent resident of Haryana, female, aged between 18 and 55 years, and either a Safai Karamchari or a dependent of one. There is no income limit.","Loan, Mahila, NSKFDC, Safai Karamcharis, Samridhi, Self-employment, Woman",Mahila Samridhi Yojana under NSKFDC- Haryana,Women Safai Karamcharis or their dependents
Online application through Antyodaya-SARAL Portal,"An additional amount, in addition to the pension, is provided to the widow of an ex-serviceman who dies while in service but not in any battle. This additional amount is given for up to three children and continues until the child dies, reaches the age of 20 years, gets married, or becomes employed, whichever is the earliest.",https://www.myscheme.gov.in/schemes/apwesmc,"Sainik and Ardh Sainik Welfare Department, Government of Haryana","1. The applicant should be the widow of an ex-serviceman. 2. The widow should be a resident of Haryana. 3. The benefit is provided for up to three children of the widow. 4. The benefit continues until the child dies, attains the age of 20 years, gets married, or becomes employed, whichever is the earliest.","Pension, Ex-Serviceman, Widow, Children, Haryana",Additional Pension to Widow of Ex-Serviceman having Children,Widow of an ex-serviceman who dies while in service but not in any battle
"Offline application process: Collect application form from Village (Dweep) Panchayat office, fill out and attach supporting documents, submit to Executive Officer at Village (Dweep) Panchayat office","Provides monthly financial assistance of ₹1,500/- to senior citizens in the UT, directly transferred to the beneficiary’s bank account",https://www.myscheme.gov.in/schemes/oaspsl,"Social Welfare & Tribal Affairs Department, Union Territory of Lakshadweep","1. Permanent resident of the Union Territory of Lakshadweep, 2. Above 60 years of age, 3. Monthly income not exceeding ₹1,500/- (₹18,000 per annum), 4. No source of income, 5. Not a beneficiary of any other similar pension scheme provided by the government","Financial Assistance, Old Age, Pension, Senior Citizen",Union Territory of Lakshadweep Pension Scheme for Old Age,Senior citizens in the UT above 60 years of age who do not have any source of income
"Offline, Collect application form from the Village (Dweep) Panchayat Office or District Panchayat Office, Fill out the application form and attach required documents, Submit the completed application form to the concerned officer at the Village (Dweep) Panchayat Office or District Panchayat Office","Provide temporary employment opportunities to Persons with Disabilities (PwDs) as Helpers on an 89-day rotational basis in the District Panchayat offices of their respective islands, Monthly salary of ₹9,900/-",https://www.myscheme.gov.in/schemes/pwdhelper,"Department of Social Welfare & Tribal Affairs, Union Territory of Lakshadweep","1. Local resident of the Union Territory of Lakshadweep, 2. Minimum 40% disability, 3. Physically capable of performing the work of a helper, 4. Belong to the Scheduled Tribe (ST) category, 5. Age between 18 and 45 years, 6. Passed at least the 8th standard","Employment, Helper, Job, Person With Disabilities, PwD, Lakshadweep, Scheduled Tribe, Disability",Special Jobs to PwDs - Helper,Persons with Disabilities (PwDs) with a minimum of 40% disability
"Offline application process involving printing and filling of the prescribed application form, attaching required documents, and submitting it to the Labour Incharge of the Board.","Upon the death of the pensioner, the surviving spouse is provided 50% of the pension amount or ₹1,500/-, whichever is higher.",https://www.myscheme.gov.in/schemes/fpdbocwwb,"Delhi Building and Other Construction Workers Welfare Board, Labour Department, Delhi",The deceased should have been a pensioner of the Board. The applicant should be a family member or a dependent of the deceased.,"Construction, Family, Labour, Pension, Worker",Family Pension (DBOCWWB),Surviving spouse of the deceased pensioner
"Offline application process involving registration with the Directorate of Industries, Trade and Commerce, submission of half-yearly claims, and scrutiny by the Task Force Committee","The scheme aimed to promote industrial growth, create a healthy environment for setting up new industrial units, revive sick industrial units, provide employment to local youths, and create manpower suitable to the needs of the industry. Additional benefits included a 5% increase in local employment subsidy, preference in capital contribution, and increased interest subsidy limits.",https://www.myscheme.gov.in/schemes/gsessi,"Directorate of Industries, Trade and Commerce, Government of Goa","Manufacturing units, including new and existing micro, small, medium, and large enterprises, employing 80% local manpower, with focus on units in 'Green', 'Orange', or specified 'Orange' environmental categories","Employment, Entrepreneur, Incentive, Industry, Subsidy","Goa State Employment Subsidy Scheme for the Industries, 2008","Manufacturing units, including new and existing micro, small, medium, and large enterprises, employing 80% local manpower"
"Offline application process involving submission of application form along with required documents to the Deputy Manager (Education Loan) in Room No. 208, 2nd Floor, Ambedkar Bhawan, Sector-16, Rohini, Delhi-89.","The scheme offers need-based loans with a maximum limit of ₹7,50,000/- for studies in India and ₹15,00,000/- for studies abroad.",https://www.myscheme.gov.in/schemes/els-delhi,"Delhi SC/ST/OBC/Minorities and Handicapped Financial Development Corporation Ltd., Government of Delhi","The applicant must be a permanent resident of Delhi, with an annual family income below ₹5,00,000/-. The applicant should be from one of the following target groups - Scheduled Caste, Scheduled Tribe, Other Backward Class, Minority, Persons with Disability.","College, Disability, Education, Loan, Minority, OBC, Scheduled Caste, Scheduled Tribe, Student",Education Loan Scheme - Delhi,"Students belonging to Scheduled Castes (SC), Scheduled Tribes (ST), Other Backward Classes (OBC), Minorities, and Persons with Disabilities (PwD)"
"Offline application process: 1. Visit the District Fisheries Office and request a hard copy of the prescribed format of the application form. 2. Fill in all the mandatory fields, and attach copies of all the mandatory documents. 3. Submit the duly filled and signed application form along with the documents to the District Fisheries Office. 4. Request a receipt or acknowledgment from the District Fisheries Office.","The scheme aims to enhance fish production through feed-based fisheries. Financial support in the form of grants for floating fish feed is provided to fish farmers to increase fish production in various districts like Ranchi, Ramgarh, Koderma, Bokaro, Dhanbad, and Seraikela. Benefits include floating fish feed subsidy, support for cage fish farmers, and support for Biofloc pond farmers.",https://www.myscheme.gov.in/schemes/fbfs,"Agriculture, Animal Husbandry & Cooperation Department, Government of Jharkhand","1. The applicant should be a fisherman. 2. The applicant must be an active fish farmer involved in cage fish farming, Recirculatory Aquaculture Systems (RAS), or Biofloc systems. 3. The applicant should have at least one year of previous crop records. 4. The applicant should not be enrolled in other overlapping schemes for the same purpose.","Fisheries, Fish Production, Financial Assistance, Grants, Fish Feed, Cage Fish Farming, Recirculatory Aquaculture Systems (RAS), Biofloc Systems",Feed Based Fisheries Scheme,Fish Farmers
"Offline application process involving collection of application form, filling and submitting it with required documents, and payment of processing fee","Need-based loans up to ₹5,00,000/- at an interest rate of 6% per annum for various income-generating activities",https://www.myscheme.gov.in/schemes/dsy,"Delhi Scheduled Castes, Scheduled Tribes, Other Backward Classes, and Minorities Financial and Development Corporation (DSFDC), Government of National Capital Territory (NCT) of Delhi","Resident of Delhi for the last five years, aged between 18 to 50 years, annual family income not exceeding ₹2,00,000/-","Business, Employment, Entrepreneurship, Loan, Minority, Scheduled Caste, Scheduled Tribe",Dilli Swarojgar Yojna,"Individuals from Scheduled Castes (SC), Scheduled Tribes (ST), Other Backward Classes (OBC), and Minority communities"
"Offline application process involving printing and filling of the application form, attaching required documents, and submitting to the Branch In-Charge / Section In-Charge of the Delhi SC/ST/OBC/Minorities/Handicapped Financial & Development Corporation.","The scheme provides need-based financial support to individuals from targeted groups to help them pursue various income-generating activities, promoting self-employment and entrepreneurship, and economic independence and social inclusion.",https://www.myscheme.gov.in/schemes/cls,"Delhi SC/ST/OBC/Minorities/Handicapped Financial & Development Corporation, Government of NCT of Delhi","The applicant should be from one of the target groups, a resident of Delhi, between 18 to 50 years old, with an annual family income not exceeding ₹1,20,000/-, willing to pursue income-generating activities, and have a proper workplace.","Disability, Employment, Entrepreneurship, Loan, Minority, Scheduled Caste, Scheduled Tribe",Composite Loan Scheme,"Scheduled Castes, Scheduled Tribes, Other Backward Classes, Minorities, and Persons with Disabilities"
"Online application through official website, registration, login, form completion, document upload, verification, and submission","Financial assistance for infrastructure development, educational resources, and staffing assistance to strengthen infrastructure and ensure holistic development of institutions",https://www.myscheme.gov.in/schemes/gjsuei,"Directorate of Secondary Education, Department of School Education and Literacy, Jharkhand Government","Varies by institution type (secondary schools, madrasas/Sanskrit schools, intermediate colleges), including approval by State Government or Jharkhand Academic Council, student strength, pass rate, and infrastructure","Education, Infrastructure, Financial Assistance, Jharkhand",Grant to Jharkhand State Unaided Educational Institutions,"Approved unaided secondary schools, permanent intermediate colleges, madrasas, and Sanskrit schools"
"Online application through Investor Facilitation Portal (IFP), Registration process involves filling in the registration form, verifying email ID, and completing the application process by filling in required details and uploading mandatory documents","The scheme provides financial assistance to SC/ST entrepreneurs for acquiring industrial sheds in mini estates developed by private developers, It encourages industrial growth by offering support for land, building, and infrastructure costs, Private developers receive an additional 15% assistance on the total cost of the shed, SC/ST entrepreneurs need to pay only 30% of the shed price, after which possession is handed over, and developers can claim assistance, The government disburses 35% of the shed cost after the sale and the remaining amount after production begins",https://www.myscheme.gov.in/schemes/bauuysdpd,"Industries and Mines Department, Gujarat","The firm must be a Micro/Small/Medium enterprise run by SC/ST entrepreneur, The shed must be located in a government-approved mini estate, The entrepreneur must pay 30% of the shed cost to acquire possession","Business, Entrepreneurship, MSMEs, Scheduled Caste, Scheduled Tribe, Start Up",Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance to MSEs for Shed Developed by Private Developer,"SC/ST entrepreneurs, Micro/Small/Medium enterprises (MSEs)"
"Online application through Investor Facilitation Portal (IFP). Registration process involves filling in the registration form, verifying email ID, and logging in to access the application form. Post-registration process involves filling in required details and mandatory documents about the business.","The scheme provides financial assistance to MSMEs for expenses incurred in raising capital through SME Exchange, encouraging them to explore funding options through the capital markets. MSMEs can receive up to 30% of the total expenditure incurred for raising capital through SME Exchange with a maximum up to ₹5,00,000/-.",https://www.myscheme.gov.in/schemes/bauuysme,"Industries and Mines Department, Gujarat",The firm must be a Micro/Small/Medium enterprise run by SC/ST entrepreneur. The enterprise must have successfully raised equity capital through an SME Exchange. Enterprise shall have to apply within one year from the listing date in SME Exchange.,"Business, Entrepreneurship, MSMEs, Scheduled Caste, Scheduled Tribe, Start Up",Dr.Babasaheb Ambedkar Udyog Uday Yojana: Assistance for Raising Capital through SME Exchange,"SC/ST entrepreneurs, MSMEs"
"Online application through Antyodaya-SARAL Portal, Registration and login required, Fill in the online application form and submit","The scheme provides monthly financial assistance of ₹2750 to eligible beneficiaries, The financial assistance will continue until the beneficiary turns 60 years old",https://www.myscheme.gov.in/schemes/fawus,"Social Justice, Empowerment, Welfare of Scheduled Castes and Backward Classes and Antyodaya (SEWA) Department, Government of Haryana","The applicant should be a domicile of Haryana or have been residing in the state for at least the last 15 years, The applicant should be a widower, The applicant should have attained the age of 40 years, The applicant's verified annual income should be up to ₹3,00,000/-, The applicant should possess a Family ID","Empowerment, Financial Assistance, Social Security, Widower",Financial Assistance to Widower and Unmarried Persons Scheme : For Widower,Widowers who are unable to sustain themselves from their own sources and are in need of financial assistance from the State
"Online application through the Harchhatravratti portal. Registration process involves entering Parivar Pehchaan Patra (Family Id), selecting the department and college, and creating a password. Application process involves logging in, checking eligibility, selecting the scholarship scheme, providing necessary details, and submitting the application.",The scheme provides financial assistance to Scheduled Castes students pursuing AICTE-approved technical courses by reimbursing tuition fees and transport costs.,https://www.myscheme.gov.in/schemes/rttsc,"Department of Technical Education, Government of Haryana","1. The applicant should be a Scheduled Caste student of Haryana. 2. The student should be enrolled in an AICTE-approved Diploma, Undergraduate, or Postgraduate technical course. 3. The applicant should be pursuing an AICTE-approved course in a government, private, or aided technical institution approved by the Technical Education Department, Haryana. 4. The applicant should be admitted through centralized counselling. 5. The applicant’s annual parental income should be between ₹2.5 lakh and ₹3.5 lakh for tuition fee reimbursement. 6. The applicant should not be residing in a campus hostel to be eligible for transport facility reimbursement.","Scheduled Castes, Technical Education, Haryana, Tuition Fee Reimbursement, Transport Facility",Reimbursement of Tuition Fee and Transport Facility to Scheduled Castes Students Studying in Technical Institutions in Haryana,Scheduled Castes students pursuing AICTE-approved technical courses in Haryana
